1081	54	2.09
1082	16	-5.97
1081	53	3.59
1082	19	-7.23
1081	56	-5.44
1080	92	4.9
1081	58	5.05
1082	23	-2.62
1081	59	1.21
1080	96	1.41
1082	25	4.56
1081	61	-1.8
1082	24	-3.98
1082	27	5.68
1081	64	-3.4
1081	63	-2.14
1082	29	-4.17
1081	65	5.83
1082	31	8.98
1081	68	-5.78
1082	32	2.77
1082	33	-6.12
1081	70	-0.53
1082	34	7.04
1082	35	1.6
1082	36	4.85
1082	37	-7.14
1081	74	-4.56
1083	1	-9.51
1081	75	-1.94
1082	39	-0.73
1081	76	-0.1
1083	2	1.8
1083	3	-7.86
1083	4	-7.72
1082	42	-6.46
1083	5	4.08
1082	43	-4.03
1081	80	3.35
1082	44	-4.95
1081	81	0.19
1082	45	-5.87
1081	82	-0.34
1081	83	-2.96
1083	10	5.24
1080	61	4.71
1079	98	8.74
1080	60	-9.37
1081	23	2.91
1081	22	0.92
1081	21	4.95
1080	65	-5.63
1080	64	3.45
1079	100	4.47
1079	99	6.8
1080	62	2.82
1080	69	-2.18
1081	32	6.36
1081	31	6.99
1080	68	0.19
1080	67	-5.05
1081	29	7.04
1081	36	7.18
1080	73	3.16
1080	72	5.68
1081	35	1.02
1081	34	-1.21
1081	39	-4.22
1082	2	-5.15
1080	76	3.16
1080	77	0.83
1081	40	-2.52
1082	1	2.77
1081	38	0.83
1082	6	5.97
1081	43	2.38
1080	80	1.17
1082	7	-7.38
1081	44	2.43
1082	4	-6.65
1080	78	4.37
1081	42	2.62
1080	84	5.53
1081	48	4.22
1080	85	-0.68
1082	11	-3.98
1080	82	5.83
1080	88	8.64
1081	51	2.62
1081	52	-3.45
1081	49	-2.57
1082	12	-0.63
1082	13	5.24
1081	50	6.6
1084	11	-5.97
1082	84	-1.99
1083	47	4.03
1082	87	4.81
1084	13	5.73
1084	7	-7.52
1083	44	-9.13
1084	6	-3.01
1083	43	-7.62
1083	46	-0.87
1082	83	3.2
1084	9	1.46
1082	82	4.76
1083	45	8.54
1084	19	-4.22
1082	93	3.79
1084	18	-1.7
1083	55	-7.72
1083	58	-8.35
1083	57	-6.46
1084	15	6.5
1084	14	-4.37
1083	51	-2.72
1084	17	-8.06
1083	53	8.74
1084	26	8.25
1082	100	-3.93
1083	63	4.27
1084	28	3.74
1083	65	7.33
1084	29	-4.42
1083	59	-5.29
1084	22	8.2
1083	62	5.0
1084	25	-1.21
1082	99	3.25
1084	34	0.29
1083	71	-5.73
1084	35	8.54
1084	36	4.42
1084	37	-1.94
1084	30	-5.97
1083	67	-8.11
1083	68	8.35
1084	31	-7.57
1084	32	5.49
1084	33	-3.59
1083	16	3.98
1082	53	4.08
1083	15	3.88
1081	89	0.92
1083	14	0.68
1081	87	-6.46
1082	50	2.62
1083	13	4.37
1083	12	8.4
1081	86	-0.44
1083	11	3.3
1081	99	3.4
1083	25	-0.92
1083	24	-6.46
1081	98	-2.96
1081	97	-6.26
1082	60	-5.05
1081	96	2.96
1083	20	-2.57
1082	57	-0.68
1083	19	7.86
1083	33	-2.48
1082	70	1.17
1083	34	-2.48
1082	68	7.09
1082	69	6.55
1083	30	7.86
1083	27	8.54
1082	64	-1.12
1083	41	-5.68
1084	5	-3.74
1082	79	6.12
1083	42	3.98
1084	2	1.55
1083	40	1.8
1082	74	-5.97
1082	75	4.32
1084	1	4.85
1083	38	1.21
1082	72	4.22
1083	35	8.2
1083	36	8.93
1082	73	5.29
1085	41	3.98
1085	42	5.24
1085	43	1.75
